mean std dev len
('sqaure', 27.864931365427765, 216.16)
('right', 16.471300616526918, 83.984)
('star', 38.835394371629604, 206.988)
('up', 15.833756850476139, 59.988)
('circlecc', 38.678296549874062, 178.624)
('down', 13.852697065914638, 71.528)
('carret', 34.499297616038504, 138.408)
('square', 31.988748021765403, 173.0)
('del', 22.85103936367009, 156.5)
('tick', 30.595297939389312, 117.088)
('left', 22.094940235266535, 80.204)

mean std dev time
('right', 0.2298590511561768, 0.9943367244456958)
('star', 0.3361809981517947, 2.4977575741014797)
('up', 0.1415351810621861, 0.7024123462462557)
('circlecc', 0.46073640184949466, 2.0725613080664806)
('down', 0.17233660499261205, 0.851242637629084)
('carret', 0.33624846000725184, 1.4548847446779767)
('square', 0.3599679601535048, 2.1468599149156407)
('del', 0.33147482064943895, 1.88891899531804)
('tick', 0.25567045693191948, 1.3607019375787721)
('left', 0.28747387625203291, 0.9454862790009003)
